推广位ID,推广位名称,order_line_count,attributed_order_count,sku_count,item_quantity,attributed_payment_amount,zero_payment_line_count,active_days,invalid_order_count,non_invalid_order_count,mixed_status_order_count,classified_order_count,invalid_order_rate,zero_payment_line_rate,attributed_payment_amount_per_active_day,attributed_payment_amount_share,is_main_comparison_eligible,scale_threshold_amount,risk_threshold_rate,scale_risk_quadrant
19000064239095,VproI527,134,121,10,136,20712.57,12,31,6,115,0,121,0.049586776859504134,0.08955223880597014,668.1474193548387,0.005085969471454356,True,19963.415,0.06860881643394985,high_scale_low_risk
19000069488891,VproI14,124,117,8,131,19214.26,1,13,12,105,0,117,0.10256410256410256,0.008064516129032258,1478.02,0.004718059602289169,True,19963.415,0.06860881643394985,low_scale_high_risk
19000062939110,TproI514,122,110,16,125,19142.41,6,25,3,104,3,107,0.028037383177570093,0.04918032786885246,765.6964,0.004700416842046283,True,19963.415,0.06860881643394985,low_scale_low_risk
18999905439238,TstressI12,163,138,17,175,18490.57,2,19,14,123,1,137,0.10218978102189781,0.012269938650306749,973.187894736842,0.004540357595884517,True,19963.415,0.06860881643394985,low_scale_high_risk
18999810839150,TsleepI25,147,136,15,167,18077.84,6,13,3,130,3,133,0.022556390977443608,0.04081632653061224,1390.603076923077,0.004439011786071763,True,19963.415,0.06860881643394985,low_scale_low_risk
18999851689143,CsleepI55,182,150,16,207,17328.84,19,17,9,133,8,142,0.06338028169014084,0.1043956043956044,1019.3435294117647,0.0042550949117235145,True,19963.415,0.06860881643394985,low_scale_low_risk
18999818888982,TsleepI41,141,125,9,152,16819.91,11,36,6,113,6,119,0.05042016806722689,0.07801418439716312,467.21972222222223,0.004130127201627313,True,19963.415,0.06860881643394985,low_scale_low_risk
19000061339212,VproI515,106,95,10,107,16407.46,8,28,7,88,0,95,0.07368421052631578,0.07547169811320754,585.9807142857143,0.004028850145786278,True,19963.415,0.06860881643394985,low_scale_high_risk
19000065839040,VproI539,92,87,8,92,14942.05,3,12,6,81,0,87,0.06896551724137931,0.03260869565217391,1245.1708333333333,0.00366901886829807,True,19963.415,0.06860881643394985,low_scale_high_risk
19000065439067,VproI552,99,84,11,99,14553.82,10,23,1,83,0,84,0.011904761904761904,0.10101010101010101,632.7747826086957,0.0035736890310107262,True,19963.415,0.06860881643394985,low_scale_low_risk
18999904689236,TstressI19,130,101,18,140,14476.2,9,24,7,89,5,96,0.07291666666666667,0.06923076923076923,603.1750000000001,0.0035546294478506317,True,19963.415,0.06860881643394985,low_scale_high_risk
19000065139057,VproI550,93,72,11,94,13411.3,14,23,7,65,0,72,0.09722222222222222,0.15053763440860216,583.1,0.0032931433604094424,True,19963.415,0.06860881643394985,low_scale_high_risk
19000063389085,TproI511,87,78,16,89,13279.83,4,14,3,74,1,77,0.03896103896103896,0.04597701149425287,948.5592857142857,0.0032608609151883955,True,19963.415,0.06860881643394985,low_scale_low_risk
19000066389294,VproI25,84,80,9,84,12994.75,1,8,6,74,0,80,0.075,0.011904761904761904,1624.34375,0.0031908595499825225,True,19963.415,0.06860881643394985,low_scale_high_risk
19000139188921,VproI34,82,78,10,86,12829.72,1,18,6,71,1,77,0.07792207792207792,0.012195121951219513,712.7622222222221,0.003150336450151158,True,19963.415,0.06860881643394985,low_scale_high_risk
18999907289164,TstressI15,110,97,21,115,12199.880000000001,1,21,7,90,0,97,0.07216494845360824,0.00909090909090909,580.9466666666667,0.0029956793017673123,True,19963.415,0.06860881643394985,low_scale_high_risk
18999738039237,TsleepI8,111,80,11,115,11911.1,26,17,0,76,4,76,0.0,0.23423423423423423,700.6529411764706,0.0029247694019351525,True,19963.415,0.06860881643394985,low_scale_low_risk
18999870939215,TstressI8,98,90,11,99,11874.35,2,25,7,82,1,89,0.07865168539325842,0.02040816326530612,474.974,0.0029157454431470377,True,19963.415,0.06860881643394985,low_scale_high_risk
18999737139295,TsleepI5,54,39,10,71,10646.5,0,16,8,31,0,39,0.20512820512820512,0.0,665.40625,0.002614246999664397,True,19963.415,0.06860881643394985,low_scale_high_risk
18999731639363,TsleepI1,103,102,4,117,10641.48,0,18,12,90,0,102,0.11764705882352941,0.0,591.1933333333333,0.0026130143391714356,True,19963.415,0.06860881643394985,low_scale_high_risk
18999829839317,CsleepI20,94,87,10,101,9933.12,2,22,9,77,1,86,0.10465116279069768,0.02127659574468085,451.5054545454546,0.0024390766127183974,True,19963.415,0.06860881643394985,low_scale_high_risk
19000064939064,VproI521,97,58,6,99,9761.97,38,16,2,56,0,58,0.034482758620689655,0.3917525773195876,610.123125,0.0023970507475051758,True,19963.415,0.06860881643394985,low_scale_low_risk
18999737339278,TsleepI4,92,81,11,95,9658.5,7,19,12,66,3,78,0.15384615384615385,0.07608695652173914,508.3421052631579,0.0023716436994560258,True,19963.415,0.06860881643394985,low_scale_high_risk
18999821738939,TsleepI42,64,62,9,66,8632.47,0,16,2,60,0,62,0.03225806451612903,0.0,539.529375,0.0021197021365888242,True,19963.415,0.06860881643394985,low_scale_low_risk
18999734739348,TsleepI17,70,61,11,74,8283.51,0,20,2,59,0,61,0.03278688524590164,0.0,414.1755,0.002034015043835066,True,19963.415,0.06860881643394985,low_scale_low_risk
19000066788983,TproI520,48,40,11,49,7784.63,0,14,3,37,0,40,0.075,0.0,556.045,0.0019115151102237784,True,19963.415,0.06860881643394985,low_scale_high_risk
19000245739083,VproI583,67,41,5,67,7656.27,23,12,1,40,0,41,0.024390243902439025,0.34328358208955223,638.0225,0.0018799963251886099,True,19963.415,0.06860881643394985,low_scale_low_risk
18999832488942,CsleepI19,74,74,3,81,7647.37,0,16,7,67,0,74,0.0945945945945946,0.0,477.960625,0.0018778109310875425,True,19963.415,0.06860881643394985,low_scale_high_risk
19000062039133,VproI512,54,46,6,54,7380.96,8,24,3,43,0,46,0.06521739130434782,0.14814814814814814,307.54,0.001812393982495931,True,19963.415,0.06860881643394985,low_scale_low_risk
18999849289217,CsleepI44,73,73,3,80,7169.88,0,13,9,64,0,73,0.1232876712328767,0.0,551.5292307692308,0.0017605633098157862,True,19963.415,0.06860881643394985,low_scale_high_risk
19000063489113,VproI52,44,41,6,44,7015.72,1,8,5,36,0,41,0.12195121951219512,0.022727272727272728,876.965,0.0017227093373865124,True,19963.415,0.06860881643394985,low_scale_high_risk
18999859438984,VesleepI7,55,54,3,59,6699.2,0,27,5,49,0,54,0.09259259259259259,0.0,248.1185185185185,0.001644987883356195,True,19963.415,0.06860881643394985,low_scale_high_risk
18999716689300,VsleepI29,54,54,6,54,6602.54,0,20,4,50,0,54,0.07407407407407407,0.0,330.127,0.0016212530301192099,True,19963.415,0.06860881643394985,low_scale_high_risk
18999906589200,TstressI11,60,59,5,65,6351.58,0,16,5,54,0,59,0.0847457627118644,0.0,396.97375,0.0015596298274670917,True,19963.415,0.06860881643394985,low_scale_high_risk
18999903089326,TstressI16,58,50,8,62,6231.63,1,10,3,46,1,49,0.061224489795918366,0.017241379310344827,623.163,0.0015301761170824822,True,19963.415,0.06860881643394985,low_scale_low_risk
18999739138937,TsleepI18,56,42,5,58,6076.17,13,15,1,39,2,40,0.025,0.23214285714285715,405.07800000000003,0.0014920029297845134,True,19963.415,0.06860881643394985,low_scale_low_risk
18999964289148,VsleepTI,52,50,6,53,5916.52,0,5,3,47,0,50,0.06,0.0,1183.304,0.0014528008884097498,False,,,
19000244989125,VproI582,36,17,7,46,5644.54,14,11,1,16,0,17,0.058823529411764705,0.3888888888888889,513.14,0.0013860162268807285,False,,,
18999959439367,VesleepTI,43,42,2,44,5574.83,0,5,2,40,0,42,0.047619047619047616,0.0,1114.966,0.0013688989434216946,False,,,
18999821089284,MsleepI9,38,35,11,44,5258.1,2,20,1,32,2,33,0.030303030303030304,0.05263157894736842,262.90500000000003,0.0012911259239125879,True,19963.415,0.06860881643394985,low_scale_low_risk
19000014089125,VesleepI29,36,36,3,36,5096.75,0,14,3,33,0,36,0.08333333333333333,0.0,364.05357142857144,0.0012515064477095306,True,19963.415,0.06860881643394985,low_scale_high_risk
18999848739234,CsleepI57,44,42,7,50,4675.27,1,7,3,38,1,41,0.07317073170731707,0.022727272727272728,667.8957142857143,0.0011480120762805586,True,19963.415,0.06860881643394985,low_scale_high_risk
18999869539303,TstressI7,37,35,8,39,4575.51,0,16,4,31,0,35,0.11428571428571428,0.0,285.969375,0.001123516018356685,True,19963.415,0.06860881643394985,low_scale_high_risk
18999714139386,VsleepI7,43,43,4,44,4485.39,0,26,6,37,0,43,0.13953488372093023,0.0,172.51500000000001,0.001101387061459136,True,19963.415,0.06860881643394985,low_scale_high_risk
19000063539109,VproI523,26,24,6,27,4433.47,1,7,1,23,0,24,0.041666666666666664,0.038461538461538464,633.3528571428571,0.0010886381107032468,False,,,
